Label,Value,tabelaReferencia
Acura,1,285
Agrale,2,285
Alfa Romeo,3,285
AM Gen,4,285
Asia Motors,5,285
ASTON MARTIN,189,285
Audi,6,285
Baby,207,285
BMW,7,285
BRM,8,285
Bugre,123,285
BYD,238,285
CAB Motors,236,285
Cadillac,10,285
Caoa Chery,161,285
CBT Jipe,11,285
CHANA,136,285
CHANGAN,182,285
Chrysler,12,285
CitroÃ«n,13,285
Cross Lander,14,285
Daewoo,15,285
Daihatsu,16,285
Dodge,17,285
EFFA,147,285
Engesa,18,285
Envemo,19,285
Ferrari,20,285
Fiat,21,285
Fibravan,149,285
Ford,22,285
FOTON,190,285
Fyber,170,285
GEELY,199,285
GM - Chevrolet,23,285
GREAT WALL,153,285
Gurgel,24,285
HAFEI,152,285
HITECH ELECTRIC,214,285
Honda,25,285
Hyundai,26,285
Isuzu,27,285
IVECO,208,285
JAC,177,285
Jaguar,28,285
Jeep,29,285
JINBEI,154,285
JPX,30,285
Kia Motors,31,285
Lada,32,285
LAMBORGHINI,171,285
Land Rover,33,285
Lexus,34,285
LIFAN,168,285
LOBINI,127,285
Lotus,35,285
Mahindra,140,285
Maserati,36,285
Matra,37,285
Mazda,38,285
Mclaren,211,285
Mercedes-Benz,39,285
Mercury,40,285
MG,167,285
MINI,156,285
Mitsubishi,41,285
Miura,42,285
Nissan,43,285
Peugeot,44,285
Plymouth,45,285
Pontiac,46,285
Porsche,47,285
RAM,185,285
RELY,186,285
Renault,48,285
Rolls-Royce,195,285
Rover,49,285
Saab,50,285
Saturn,51,285
Seat,52,285
SHINERAY,183,285
smart,157,285
SSANGYONG,125,285
Subaru,54,285
Suzuki,55,285
TAC,165,285
Toyota,56,285
Troller,57,285
Volvo,58,285
VW - VolksWagen,59,285
Wake,163,285
Walk,120,285
